lon,lat,val
-85.03,29.73,69.51
-75.45,40.65,39.71
-99.68,32.41,121.06
-106.62,35.04,52.8
-98.41,45.44,150.34
-97.23,31.62,102.41
-74.57,39.45,79.87
-81.96,33.36,27.76
-83.33,33.95,32.37
-73.81,42.74,43.54
-98.02,27.74,249.88
-92.4,42.55,104.23
-101.43,35.13,106.78
-82.51,31.54,90.66
-85.86,33.59,35.62
-82.71,34.5,33.68
-84.36,46.48,73.38
-122.28,38.21,32.82
-81.78,26.15,148.89
-83.56,45.07,123.84
-76.02,43.99,64.78
-123.88,46.16,91.29
-84.44,33.63,46.27
-97.76,30.32,145.05
-97.15,44.9,139.29
-69.8,44.32,40.83
-97.68,30.18,157.32
-82.54,35.43,40.95
-75.73,41.33,49.38
-95.39,45.87,60.98
-98.05,29.71,170.47
-72.68,41.94,49.13
-73.13,41.16,54.6
-86.43,42.12,81.98
-103.59,41.87,109.68
-119.05,35.43,22.42
-75.98,42.21,52.25
-68.82,44.8,59.05
-86.74,33.57,62.74
-118.36,37.37,5.8
-108.54,45.81,50.8
-100.76,46.78,89.07
-117.81,44.84,94.43
-81.12,37.78,134.36
-81.21,37.3,179.51
-114.71,33.62,1.97
-98.24,30.74,104.39
-86.69,36.12,69.07
-118.96,43.6,14.62
-116.24,43.57,65.05
-71.01,42.36,29.65
-94.02,29.95,213.86
-97.42,25.91,380.09
-112.5,45.96,36.89
-91.15,30.54,145.22
-73.15,44.47,49.4
-78.74,42.94,66.45
-96.03,36.77,131.4
-86.42,36.96,67.21
-76.68,39.17,80.66
-113.77,42.54,22.25
-111.16,45.79,67.45
-81.12,33.94,65.86
-81.43,40.92,102.29
-103.15,36.45,53.61
-68.02,46.87,101.05
-122.06,37.99,30.86
-113.09,37.71,137.5
-103.1,42.84,121.88
-100.28,34.43,45.87
-86.52,30.78,91.4
-89.57,37.22,53.26
-85.2,35.03,44.99
-80.04,32.9,74.1
-91.72,41.88,91.64
-87.42,36.62,25.13
-81.85,41.4,93.33
-96.36,30.59,315.73
-80.96,35.22,37.59
-82.88,39.99,81.55
-97.65,39.55,276.02
-104.26,32.33,0
-71.5,43.2,50.85
-99.22,28.46,167.99
-92.22,38.82,123.8
-106.47,42.9,149.66
-118.24,34.05,4.23
-78.72,33.81,56.94
-81.52,30.34,29.02
-97.51,27.77,204.13
-81.59,38.38,97.89
-84.94,32.52,79.18
-99.12,35.21,24.76
-85.08,35.95,98.51
-112.38,48.6,23.18
-84.67,39.04,53.12
-104.82,41.15,185.31
-116.47,32.62,0
-81.05,29.18,59.83
-116.78,34.85,4.71
-96.86,32.85,73.85
-79.34,36.57,68.14
-84.22,39.91,55.76
-90.7,42.4,87.22
-77.03,38.85,86.09
-99.97,37.77,135.49
-104.66,39.83,265.59
-94.4,34.05,59.36
-97.02,32.9,68.01
-102.55,36.02,12.14
-102.8,46.8,90.29
-92.18,46.84,167.06
-112.55,45.26,53.6
-76.61,39.28,0
-116.03,36.62,20.54
-100.93,29.38,130.33
-93.65,41.53,134.7
-83.33,42.23,91
-109.61,31.46,22.24
-89.41,36,0
-120.2,47.4,84.05
-91.49,44.87,214.71
-114.62,34.77,11.37
-86.78,33.18,71.85
-124.16,40.81,0
-79.85,38.88,112.58
-115.79,40.83,56.55
-92.81,33.22,46.88
-106.38,31.81,4.26
-114.85,39.3,156.54
-119.52,47.31,88.18
-80.18,42.08,71.89
-123.22,44.13,72.22
-87.52,38.04,53.19
-77.05,35.07,58.71
-74.17,40.68,44.57
-81.75,24.56,334.94
-96.81,46.92,147.54
-119.72,36.78,35.9
-93.47,44.83,307.5
-98.59,34.21,42.84
-111.67,35.14,44.33
-80.15,26.07,47.83
-79.72,34.18,89.08
-81.86,26.58,76.21
-83.75,42.97,119.74
-96.75,43.58,386.03
-94.36,35.33,76.2
-97.36,32.82,74.28
-85.21,40.97,95.19
-94.17,36.01,61.09
-99.77,36.3,539.76
-117.53,47.62,121.15
-97.18,47.94,94
-73.62,43.35,23.64
-94.71,32.38,87.97
-106.62,48.21,274.07
-108.54,39.13,77.32
-101.69,39.37,82.55
-90.98,33.48,45.06
-82.28,29.69,31.83
-97.41,35.85,127.35
-114.26,48.3,104.65
-89.08,30.41,80.07
-88.14,44.48,95.9
-98.31,40.96,148.73
-85.52,42.88,108.12
-79.94,36.1,64.77
-82.22,34.88,28.74
-111.38,47.47,64.49
-90.09,33.5,78.82
-89.25,31.28,150.55
-99.05,34.99,34.04
-99.17,29.36,122.88
-90.22,32.34,176.34
-81.38,35.74,41.35
-111.96,46.61,179.35
-98.22,44.4,327.14
-95.28,29.64,205.72
-75.62,35.23,82.21
-86.79,34.64,70.9
-84.67,44.36,147.3
-82.56,38.36,75.11
-67.79,46.12,97.69
-109.76,48.54,89.66
-122.12,37.65,18.97
-77.46,38.94,79.36
-95.36,29.98,180.18
-97.43,37.65,288.15
-113.93,35.26,53.47
-75.6,39.67,75.43
-77.9,34.27,57.47
-86.28,39.73,56.98
-103.2,31.78,8.79
-93.4,48.56,133.67
-110.72,35.03,27.08
-76.92,41.24,73
-103.64,48.17,76.1
-73.1,40.79,37.06
-90.08,32.32,168.17
-81.69,30.5,34.4
-73.76,40.64,46.7
-83.31,37.59,100.41
-98.67,46.93,81.67
-84.58,42.78,103.73
-115.16,36.07,7.47
-98.42,34.56,23.41
-118.39,33.94,3.67
-101.82,33.67,73.72
-100.67,41.12,237.31
-79.06,34.61,77.97
-93.23,30.12,224.39
-84.61,38.04,93.43
-94.75,31.24,85.1
-91.99,30.2,106.14
-73.88,40.78,46.74
-118.15,33.81,10.13
-103.51,38.05,27.11
-108.73,42.82,142.79
-96.75,40.85,259.75
-84.08,37.09,69.58
-91.25,43.88,131.55
-121.81,37.69,19.71
-110.44,45.7,42.69
-117.02,46.38,106.3
-109.46,47.05,98.48
-79.21,37.32,86.37
-102.21,31.95,25.54
-90.47,31.18,126.58
-94.73,39.3,206.45
-83.65,32.68,56.03
-81.32,28.43,126.98
-93.33,43.15,107.62
-76.76,40.19,85.18
-88.74,32.34,104.48
-89.99,35.06,66.68
-82.52,40.82,101.21
-98.25,26.18,285.13
-122.87,42.38,105.77
-86.41,32.3,83.42
-79.92,39.64,74.67
-80.32,25.79,145.11
-93.35,45.06,225.82
-94.6,39.12,129.68
-87.9,42.96,86.84
-86.24,43.17,96.54
-88.92,35.59,53.78
-95.78,34.88,44.78
-90.52,41.46,115.33
-105.88,46.43,142.92
-68.69,45.65,64.01
-88.25,30.69,136.76
-120.95,37.62,29.96
-101.27,48.26,33.57
-72.56,44.2,36.3
-77.98,39.4,115.72
-87.6,34.74,57.85
-89.34,43.14,68.34
-114.09,46.92,113.42
-90.25,29.99,86.63
-98.06,32.78,80.18
-121.57,39.1,26.8
-90.03,30.05,89.09
-73.97,40.78,42.76
-114.62,32.65,8
-97.44,41.99,217.38
-97.6,35.39,51.99
-122.9,46.97,91.92
-95.9,41.31,254.89
-119.52,48.46,83.21
-84.24,36.02,79.53
-87.93,42,88.13
-76.19,36.9,82.31
-71.87,42.27,42.47
-92.45,41.11,128.81
-98.55,37.28,0
-116,39.6,0
-88.77,37.06,54.33
-80.1,26.68,130.17
-118.85,45.7,119.66
-122.6,45.59,74.66
-75.23,39.87,67.09
-112,33.43,0
-89.68,40.67,92.09
-112.57,42.92,60.79
-100.28,44.38,193.23
-80.21,40.48,90.65
-81.44,39.34,103.57
-84.79,45.56,18.18
-97.1,36.74,175.67
-87.19,30.48,109.73
-88.53,30.46,117.24
-120.63,35.67,5.28
-96.25,28.72,143.07
-71.43,41.72,43.43
-70.3,43.65,43.73
-122.25,40.15,44.49
-122.3,40.52,24.98
-121.14,44.26,104.63
-78.78,35.89,57.71
-89.09,42.19,89.32
-77.32,37.5,112.02
-97.05,28.08,122.42
-109.05,41.59,69.4
-79.97,37.32,74.08
-77.68,43.12,104.83
-104.51,33.31,77.95
-92.49,43.9,186.25
-95.08,44.55,368.79
-121.5,38.51,25.57
-117.18,32.73,50.81
-98.48,29.54,303.39
-81.21,32.13,91.59
-119.84,34.43,2.03
-86.32,41.71,113.5
-75.51,38.34,103.48
-121.22,37.89,22.36
-118.72,34.74,12.16
-85.74,38.18,51.03
-122.31,47.44,100.06
-98.18,32.22,0
-122.26,47.69,0
-122.36,37.62,15.69
-93.39,37.24,90.76
-106.97,44.77,169.82
-93.82,32.45,72.55
-122.47,41.78,33.29
-121.92,37.36,18.46
-100.5,31.35,193.14
-111.97,40.78,86.15
-123,44.9,87.71
-118.45,34.02,4.14
-120.45,34.9,11.62
-121.61,36.66,31.74
-82.63,27.76,10.32
-89.68,39.84,84.5
-98.49,33.98,32.95
-98.47,29.34,135.42
-81.39,31.15,61.36
-94.05,45.54,197.62
-94.92,39.77,232.86
-90.37,38.75,87.03
-93.06,44.93,270.2
-122.81,38.5,28.26
-96.38,42.39,315.63
-97.09,36.16,168.12
-76.1,43.11,65.32
-104.34,37.26,34.81
-87.62,33.21,71.05
-84.35,30.39,65.47
-83.8,41.59,82.88
-95.63,39.07,197.1
-82.54,27.96,65.38
-117.09,38.05,16.85
-82.4,36.47,103.84
-95.89,36.2,82.58
-88.77,34.26,89.96
-110.96,32.13,9.33
-85.58,44.74,78.33
-119.99,38.9,38.39
-91.03,32.35,124.43
-94.01,33.45,71.88
-95.4,32.35,73.28
-83.99,35.82,92.52
-124.56,47.94,106.52
-91.19,39.94,40.05
-121.96,38.38,25.64
-96.93,28.86,135.81
-109.51,40.44,30.74
-80.24,27.65,64.93
-100.55,42.88,454.6
-118.21,34.74,17.05
-117.81,40.9,78.26
-107.95,43.97,10
-120.54,46.57,96.67
-80.67,41.25,143.3
-81.89,39.94,62.71
-156.78,71.28,155.71
-151.51,66.92,72.61
-134.56,58.36,72.62
-155.61,62.96,82.37
-150.03,61.17,240.54
-141.94,62.96,96.19
-162.63,66.87,132.79
-135.36,57.05,67.35
144.8,13.48,64.71
-159.34,21.98,274.03
-157.1,21.16,14.94
-157.93,21.32,55.22
-156.43,20.9,3.83
-155.05,19.72,135.73
-64.97,18.33,67.09
-64.8,17.7,93.04
-65.64,18.26,73.15
-66.01,18.43,79.39
