lon,lat,val
-85.03,29.73,4
-75.45,40.65,5.66
-99.68,32.41,2
-106.62,35.04,-0.29
-98.41,45.44,6.07
-97.23,31.62,1.9
-74.57,39.45,4.93
-81.96,33.36,3.09
-83.33,33.95,2.19
-73.81,42.74,6.02
-98.02,27.74,1.37
-92.4,42.55,5.4
-101.43,35.13,-0.24
-82.51,31.54,3.17
-85.86,33.59,3.91
-82.71,34.5,2.88
-84.36,46.48,8.28
-122.28,38.21,0.12
-81.78,26.15,3.53
-83.56,45.07,7.38
-76.02,43.99,7.74
-123.88,46.16,-0.28
-84.44,33.63,3.97
-97.76,30.32,2.29
-97.15,44.9,5.47
-69.8,44.32,3.71
-97.68,30.18,3.45
-82.54,35.43,3.69
-75.73,41.33,5.6
-95.39,45.87,6.1
-98.05,29.71,1
-72.68,41.94,5.53
-73.13,41.16,6.09
-86.43,42.12,3
-103.59,41.87,-0.71
-119.05,35.43,2.06
-75.98,42.21,5.57
-68.82,44.8,4.88
-86.74,33.57,4
-118.36,37.37,-0.67
-108.54,45.81,-0.52
-100.76,46.78,3.91
-117.81,44.84,1.64
-81.12,37.78,3.47
-81.21,37.3,3.26
-114.71,33.62,0.12
-98.24,30.74,2.83
-86.69,36.12,4.08
-118.96,43.6,3.09
-116.24,43.57,1.76
-71.01,42.36,5.52
-94.02,29.95,3.64
-97.42,25.91,1.88
-112.5,45.96,1.57
-91.15,30.54,3.59
-73.15,44.47,6.62
-78.74,42.94,5.33
-96.03,36.77,2.26
-86.42,36.96,4.62
-76.68,39.17,5.69
-113.77,42.54,2.45
-111.16,45.79,-1.71
-81.12,33.94,3.48
-81.43,40.92,4.6
-103.15,36.45,-1.03
-68.02,46.87,2.76
-122.06,37.99,-0.38
-113.09,37.71,-1.2
-103.1,42.84,1.17
-100.28,34.43,-0.45
-86.52,30.78,4.88
-89.57,37.22,4.14
-85.2,35.03,4.17
-80.04,32.9,3.41
-91.72,41.88,4.48
-87.42,36.62,4.38
-81.85,41.4,4.17
-96.36,30.59,3.17
-80.96,35.22,2.63
-82.88,39.99,3.98
-97.65,39.55,3.05
-104.26,32.33,-1.05
-71.5,43.2,5.59
-99.22,28.46,0.28
-92.22,38.82,5.28
-106.47,42.9,-1.71
-118.24,34.05,-1.48
-78.72,33.81,3.38
-81.52,30.34,4.31
-97.51,27.77,2.52
-81.59,38.38,1.98
-84.94,32.52,3.66
-99.12,35.21,-0.5
-85.08,35.95,3.91
-112.38,48.6,1.72
-84.67,39.04,3.72
-104.82,41.15,-4.25
-116.47,32.62,-3.19
-81.05,29.18,4.6
-116.78,34.85,0.55
-96.86,32.85,1.83
-79.34,36.57,1.81
-84.22,39.91,4.84
-90.7,42.4,4.22
-77.03,38.85,5.21
-99.97,37.77,0.34
-104.66,39.83,-4.28
-94.4,34.05,1.98
-97.02,32.9,2.38
-102.55,36.02,-0.21
-102.8,46.8,2.1
-92.18,46.84,8.45
-112.55,45.26,0.26
-76.61,39.28,7.19
-116.03,36.62,0.07
-100.93,29.38,0.53
-93.65,41.53,4.81
-83.33,42.23,4.34
-109.61,31.46,2.3
-120.2,47.4,-0.31
-91.49,44.87,6.95
-114.62,34.77,1.43
-86.78,33.18,4.29
-124.16,40.81,-1.38
-79.85,38.88,3.19
-115.79,40.83,0.55
-92.81,33.22,1.41
-106.38,31.81,0.22
-114.85,39.3,0.6
-119.52,47.31,1.91
-80.18,42.08,5.59
-123.22,44.13,-1.38
-87.52,38.04,3.74
-77.05,35.07,2.14
-74.17,40.68,5.74
-81.75,24.56,3.08
-96.81,46.92,6.52
-119.72,36.78,0.97
-93.47,44.83,6.97
-98.59,34.21,1.62
-111.67,35.14,-0.28
-80.15,26.07,1.83
-79.72,34.18,2.55
-81.86,26.58,4.55
-83.75,42.97,6
-96.75,43.58,4.86
-94.36,35.33,3.31
-97.36,32.82,1.57
-85.21,40.97,4.69
-94.17,36.01,3.26
-99.77,36.3,0.79
-117.53,47.62,-0.52
-97.18,47.94,7.35
-73.62,43.35,7.31
-94.71,32.38,3.22
-106.62,48.21,2.36
-108.54,39.13,1.07
-101.69,39.37,0.19
-90.98,33.48,3.16
-82.28,29.69,4.88
-97.41,35.85,2.1
-114.26,48.3,1.38
-89.08,30.41,5.31
-88.14,44.48,8.74
-98.31,40.96,0.73
-85.52,42.88,4.91
-79.94,36.1,2.76
-82.22,34.88,2.05
-111.38,47.47,1.17
-90.09,33.5,1.93
-89.25,31.28,4.72
-99.05,34.99,1.01
-99.17,29.36,1.45
-90.22,32.34,3.76
-81.38,35.74,2.76
-111.96,46.61,0.07
-98.22,44.4,3.9
-95.28,29.64,3.19
-75.62,35.23,3.96
-86.79,34.64,2.97
-84.67,44.36,6.72
-82.56,38.36,2.86
-67.79,46.12,1.81
-109.76,48.54,2.09
-122.12,37.65,-0.52
-77.46,38.94,4.59
-95.36,29.98,3.53
-97.43,37.65,2.66
-113.93,35.26,-1
-75.6,39.67,4.67
-77.9,34.27,1.9
-86.28,39.73,4.97
-103.2,31.78,-0.24
-93.4,48.56,8.88
-110.72,35.03,-1.64
-76.92,41.24,5.1
-103.64,48.17,3.33
-73.1,40.79,5.17
-90.08,32.32,4.59
-81.69,30.5,3.1
-73.76,40.64,5.28
-83.31,37.59,2.72
-98.67,46.93,6.26
-84.58,42.78,4
-115.16,36.07,0.72
-98.42,34.56,0.21
-118.39,33.94,-0.07
-101.82,33.67,-0.79
-100.67,41.12,-0.91
-79.06,34.61,1.72
-93.23,30.12,5.17
-84.61,38.04,2.98
-94.75,31.24,3.83
-91.99,30.2,2.97
-73.88,40.78,5.91
-118.15,33.81,-0.38
-103.51,38.05,0.82
-108.73,42.82,0.55
-96.75,40.85,1.31
-84.08,37.09,1.79
-91.25,43.88,6.31
-121.81,37.69,0.98
-110.44,45.7,-1.22
-117.02,46.38,0.33
-109.46,47.05,0.07
-79.21,37.32,3.31
-102.21,31.95,0.55
-90.47,31.18,3.79
-94.73,39.3,4.4
-83.65,32.68,2.4
-81.32,28.43,3.86
-93.33,43.15,6.86
-76.76,40.19,4.19
-88.74,32.34,4.14
-89.99,35.06,3.31
-82.52,40.82,4.62
-98.25,26.18,1.36
-122.87,42.38,-1.07
-86.41,32.3,4.57
-79.92,39.64,2.98
-80.32,25.79,2.6
-93.35,45.06,6.78
-94.6,39.12,5.02
-87.9,42.96,5
-86.24,43.17,5.44
-88.92,35.59,3.1
-95.78,34.88,1.88
-90.52,41.46,4.02
-105.88,46.43,2.71
-68.69,45.65,3.26
-88.25,30.69,4.22
-120.95,37.62,-1.72
-101.27,48.26,5.34
-72.56,44.2,4.55
-77.98,39.4,5.2
-87.6,34.74,3.81
-89.34,43.14,6.24
-114.09,46.92,-0.59
-90.25,29.99,4.25
-98.06,32.78,1.47
-121.57,39.1,0.76
-90.03,30.05,3.21
-73.97,40.78,5.5
-114.62,32.65,-1.36
-97.44,41.99,2.22
-97.6,35.39,0.79
-122.9,46.97,-0.36
-95.9,41.31,2.73
-119.52,48.46,-0.84
-84.24,36.02,3.97
-87.93,42,4.98
-76.19,36.9,4.22
-71.87,42.27,5.9
-92.45,41.11,4.98
-98.55,37.28,1.31
-116,39.6,0.09
-88.77,37.06,3.71
-80.1,26.68,3.29
-118.85,45.7,-1.91
-122.6,45.59,-0.55
-75.23,39.87,5.02
-112,33.43,0.48
-89.68,40.67,4.74
-112.57,42.92,2.78
-100.28,44.38,1.6
-80.21,40.48,4.12
-81.44,39.34,2.84
-84.79,45.56,8.78
-97.1,36.74,1.88
-87.19,30.48,4.36
-88.53,30.46,4.55
-120.63,35.67,0.03
-96.25,28.72,3.09
-71.43,41.72,4.09
-70.3,43.65,4.86
-122.25,40.15,0.86
-122.3,40.52,0.98
-121.14,44.26,-1.81
-78.78,35.89,2.26
-89.09,42.19,4.26
-77.32,37.5,3.64
-97.05,28.08,1.55
-109.05,41.59,1.29
-79.97,37.32,4.55
-77.68,43.12,5.26
-104.51,33.31,-1.08
-92.49,43.9,7.26
-95.08,44.55,6.76
-121.5,38.51,0.28
-117.18,32.73,-0.16
-98.48,29.54,1.74
-81.21,32.13,3.03
-119.84,34.43,-0.36
-86.32,41.71,4.17
-75.51,38.34,4.74
-121.22,37.89,0.26
-118.72,34.74,-0.52
-85.74,38.18,3.31
