DATE,TIME,val,INJURIES,FATALITIES,PROPERTY LOSS,lat,lon,MAGNITUDE
2011-01-01,00:12:00,50,0,0,0,32.02,-89.97,EG
2011-01-01,00:27:00,50,0,0,0.003,32.66,-89.94,EG
2011-01-01,01:08:00,50,0,0,0.002,32.49,-89.43,EG
2011-01-01,01:20:00,55,0,0,0.002,32.75,-89.23,EG
2011-01-01,01:22:00,55,0,0,0.003,32.6,-89.23,EG
2011-01-01,01:20:00,50,0,0,0,34.09,-87.6,EG
2011-01-01,01:25:00,56,0,0,0.01,32.69,-89.21,EG
2011-01-01,01:25:00,50,0,0,0.005,32.73,-89.11,EG
2011-01-01,01:25:00,57,0,0,0.05,32.76,-89.14,EG
2011-01-01,01:30:00,50,0,0,0.005,32.76,-89.06,EG
2011-01-01,01:39:00,50,0,0,0.002,32.19,-89.69,EG
2011-01-01,01:47:00,50,0,0,0.008,33.53,-88.43,EG
2011-01-01,03:03:00,50,0,0,0.01,32.71,-89.05,EG
2011-01-01,02:10:00,50,0,0,0,33.74,-88.11,EG
2011-01-09,02:30:00,52,0,0,0,28.91,-97.91,EG
2011-01-05,04:30:00,52,0,0,0.001,30.3,-90.97,EG
2011-01-09,04:00:00,52,0,0,0.002,27.23,-98.15,EG
2011-01-01,03:42:00,50,0,0,0.005,32.49,-88.84,EG
2011-01-09,03:30:00,58,0,0,0,27.74,-98.02,MG
2011-01-09,03:45:00,70,0,0,0.5,27.8,-97.68,EG
2011-01-09,03:50:00,70,0,0,0.015,27.85,-97.63,EG
2011-01-09,04:09:00,87,0,0,1,27.91,-97.36,EG
2011-01-05,10:40:00,50,0,0,0,30.2,-85.69,EG
2011-01-09,02:33:00,52,0,0,0.005,28.17,-98.29,EG
2011-01-09,04:27:00,52,0,0,0,28.94,-97.12,EG
2011-01-09,04:23:00,52,0,0,0.01,28.92,-97.09,EG
2011-01-09,04:02:00,60,0,0,0,27.78,-97.51,MG
2011-01-09,04:16:00,51,0,0,0,27.69,-97.34,MG
2011-01-09,03:48:00,52,0,0,0,27.67,-97.75,EG
2011-01-09,03:54:00,78,0,0,0.5,27.86,-97.63,EG
2011-01-09,05:15:00,52,0,0,0.005,28.89,-96.52,EG
2011-01-17,09:20:00,52,0,0,0,27.5,-82.66,EG
2011-01-17,09:27:00,50,0,0,0.015,28.37,-81.24,EG
2011-01-25,15:50:00,50,0,0,0,29.04,-82,EG
2011-01-25,15:45:00,50,0,0,0,29.01,-82.17,EG
2011-01-25,16:00:00,50,0,0,0.01,29.08,-82.04,EG
2011-01-25,16:20:00,61,0,0,0.5,28.57,-81.87,EG
2011-01-25,16:33:00,56,0,0,0.02,28.61,-81.7,EG
2011-01-25,17:13:00,52,0,0,0.005,28.78,-81.29,EG
2011-01-25,18:20:00,52,0,0,0,28.5,-80.57,EG
2011-01-25,18:03:00,52,0,0,0,28.6,-80.73,MG
2011-01-25,17:12:00,52,0,0,0,28.55,-81.3,EG
2011-01-25,17:09:00,52,0,0,0,28.58,-81.32,EG
2011-01-25,17:13:00,55,0,0,0,28.78,-81.24,MG
2011-01-25,17:50:00,50,0,0,0,28.58,-80.84,EG
2011-01-18,15:53:00,52,0,0,0.01,30.03,-91.96,EG
2011-01-25,15:44:00,50,0,0,0,28.47,-82.45,MG
2011-01-25,15:40:00,61,0,0,0.055,28.46,-82.5,EG
2011-01-09,04:29:00,78,0,0,0.4,28.03,-97.09,EG
2011-01-09,04:36:00,61,0,0,0.1,28.65,-96.9,EG
2011-01-09,04:40:00,61,0,0,0.025,28.69,-96.83,EG
2011-01-09,04:40:00,61,0,0,0.05,28.69,-96.82,EG
2011-01-09,04:52:00,52,0,0,0.005,28.61,-96.64,EG
2011-01-09,04:48:00,61,0,0,0.02,28.41,-96.71,EG
2011-01-18,21:15:00,52,0,0,0.01,30.53,-86.5,EG
2011-01-18,20:05:00,52,0,0,0.003,30.28,-87.68,EG
