Facility Id,FRS Id,Facility Name,City,State,Zip Code,Address 1,Address 2,County,lat,lon,Primary NAICS Code,Industry Type (subparts),val
1004377,110043803578,121 REGIONAL DISPOSAL FACILITY,MELISSA,TX,75454,3820 SAM RAYBURN HIGHWAY,,COLLIN,33.296762,-96.53891,562212,HH,114408
1000112,110043809812,23rd and 3rd,BROOKLYN,NY,11232,23RD &3RD AVE,,Kings,40.6560436,-74.0079781,221112,"C,D",32.13
1006394,110043803587,29-6 #2 Central Delivery Point,Blanco,NM,87412,T29N R6W Section 10,,SAN JUAN,36.6378179,-107.4321959,213112,C (Abbr),9.87
1002885,110043803596,30-5 Central Delivery Point Compressor Station,Aztec,NM,87410,"T30N R5W Section 18, 29.9 miles east of Aztec",,SAN JUAN,36.8995665,-107.9057813,213112,C (Abbr),15.33
1002707,110043799681,31-6 Central Delivery Point,BLOOMFIELD,NM,87413,"36.8363,-107.4199",,SAN JUAN,36.348812,-107.9531836,213112,C (Abbr),25.2
1002718,110043815725,32-7 Central Delivery Point,BLANCO,NM,87412,"T32N R7W Section 34, 22 mi NE of Blanco",,SAN JUAN,36.6378179,-107.4321959,213112,C (Abbr),22.26
1002721,110043799690,32-8 #2 CDP COMPRESSOR STATION,BLANCO,NM,87412,"UTM Zone 13, UTMH 262.9 km, UTMV 4093.2 km",,SAN JUAN,36.6378179,-107.4321959,213112,C (Abbr),21.84
1003188,110000599273,3M BROWNWOOD,BROWNWOOD,TX,76801,4501 HIGHWAY 377 SOUTH,,BROWN,31.67028,-98.99996,326113,"C,N",14.49
1005043,110043803603,3M CO,MAPLEWOOD,MN,55144,Latitude 44-57-15 Longitude 93-00-00,,RAMSEY,45.0325431,-93.0941242,541712,C,25.2
1003739,110000589159,3M CO - GUIN,GUIN,AL,35563,6675 US HIGHWAY 43,,MARION,33.96672,-87.899855,326113,"C,N",10.92
1007698,110000421776,3M CO - WAUSAU DOWNTOWN,WAUSAU,WI,54401,144 ROSECRANS ST,,MARATHON,44.95018,-89.63766,212313,C,10.29
1004206,110043754899,3M COMPANY,DECATUR,AL,35609,1400 STATE DOCKS RD.,,Morgan,34.606651,-86.9824193,325211,"C,OO",20.37
1006665,110013886875,3M CORDOVA,CORDOVA,IL,61242,22614 ROUTE 84 NORTH,,ROCK ISLAND,41.755,-90.284167,325998,"C,OO",11.34
1004836,110020631431,3M Cottage Grove Center - Site,Cottage Grove,MN,55016,10746 Innovation Rd,,WASHINGTON,44.791611,-92.913909,325998,"C,N,OO",34.44
1003408,110040995199,3M INDUSTRIAL MINERAL PRODUCTS DIVISION,LITTLE ROCK,AR,72216,3110 WALTERS DRIVE,,PULASKI,34.710639,-92.236111,333120,C,11.13
1004914,110043798165,3M MAGNETIC TAPE MANUFACTURING DIVISION,HUTCHINSON,MN,55350,905-915 ADAMS STREET SOUTHEAST,,MCLEOD,44.879294,-94.361896,322222,C,16.17
1004804,110000443805,3M NEVADA PLANT,NEVADA,MO,64772,2120 E. AUSTIN,,VERNON,37.829306,-94.331722,326113,C,11.76
1001106,110040862527,48th Street Peaking Station,HOLLAND,MI,49423,491 E 48TH ST,,Allegan,42.754789,-86.0851,221112,"C,D",7.56
1004680,110043803612,58TH ST LF (MAIN COUNTY LF),MIAMI,FL,33178,8831 NW 58TH ST,,Miami-Dade,25.8433674,-80.4326521,562212,HH,94874.22
1000766,110043798174,59th Street,NEW YORK,NY,10019,850 12TH AVE,,New York,40.7686973,-73.9918181,221330,C,181.86
1007733,110041047505,69TH ST WWTP,HOUSTON,TX,77020,2525 SSGT MACARIO GARCIA DR,,HARRIS,29.755139,-95.297655,221320,C (Abbr),10.71
1000767,110043811284,74th Street,NEW YORK,NY,10021,506 E 75TH ST,,New York,40.7700703,-73.9580246,221330,C,323.82
1001033,110043798183,A B Brown Generating Station,MOUNT VERNON,IN,47620,8511 WELBORN ROAD,,Posey,37.9395358,-87.9530849,221112,D,5332.74
1001607,110001245162,A B Paterson,NEW ORLEANS,LA,70126,5400 DWYER RD,,Orleans,30.01746,-90.02644,221112,D,
1005445,110000395938,AAP ST MARYS CORP,SAINT MARYS,OH,45885,1100 MCKINLEY RD.,,AUGLAIZE,40.55358,-84.37325,336399,C (Abbr),10.92
1002853,110017421226,ABBOTT NUTRITION,STURGIS,MI,49091,901 NORTH CENTERVILLE ROAD,,ST. JOSEPH,41.81043,-85.4284,311514,C,23.1
1002983,110043799707,ABBOTT PARK FACILITY,ABBOTT PARK,IL,60064,100 ABBOTT PARK RD,,Lake,42.3271524,-87.8574308,325412,C (Abbr),201.39
1007514,110043804407,ABBOTT PHARMACEUTICALS PR LTD,BARCELONETA,PR,00617,RD 2 KM 58.0,,Barceloneta,18.4489545,-66.5342963,325411,C,98.7
