val,AGENCY,TIME,COMMENTS,YEAR,ACTIVE,UNIT_ID,FIRE_NAME,FIRE_NUM,DATE,FIRE,INCIWEB_ID,LOAD_DATE,AREA,PERIMETER,lon,lat
0.56000000,USFS,2301,FIMT,2012,N,CA-KNF,Fort Complex,G5F7,2012/08/14,Fruit,3117,2012/08/15,0.000000,0.001949,-123.247737,41.961021
732.34000000,USFS,2301,FIMT,2012,N,CA-KNF,Fort Complex,G5F7,2012/08/14,Hello,3117,2012/08/15,0.000322,0.079794,-123.232099,41.960980
3952.93000000,USFS,2100,Named 'Mistake' in FireCode,2012,N,AZ-TNF,Mistake Peak,G5KC,2012/08/13,,3141,2012/08/15,0.001561,0.234280,-111.116664,33.923392
397.24000000,USFS,0000,WFDSS,2012,N,CA-STF,Ramsey,G5WX,2012/08/13,,3147,2012/08/14,0.000166,0.057604,-120.161403,38.389281
499.15000000,USFS,2357,IR heat perimeter,2012,N,ID-SCF,Mustang,G4A0,2012/08/06,Ditch,3100,2012/08/09,0.000235,0.138953,-114.868897,45.998719
11028.88000000,BLM,2057,IR heat perimeter,2012,N,CA-CDD,Jawbone Complex,G5Q3,2012/08/14,,3150,2012/08/14,0.004422,0.656775,-118.227779,35.284205
21654.22000000,NPS,2259,FIMT,2012,N,CA-LNP,Reading,G3H7,2012/08/13,,3112,2012/08/14,0.009319,0.727987,-121.412599,40.547453
57263.14000000,BLM,1300,WFDSS,2012,N,CA-NOD,Rush,G5Z8,2012/08/14,,3151,2012/08/15,0.024646,0.783363,-120.126335,40.576311
104.28000000,USFS,2359,IR heat perimeter,2012,N,ID-NPF,Goat,G42D,2012/08/15,Moose Ridge,3135,2012/08/16,0.000049,0.041611,-114.940088,46.060070
750.02000000,USFS,2359,IR heat perimeter,2012,N,ID-NPF,Goat,G42D,2012/08/15,Pettibone,3135,2012/08/16,0.000353,0.142616,-114.731759,46.061073
88210.90000000,USFS,2142,IR heat perimeter,2012,N,ID-SCF,Halstead,G34R,2012/08/17,,3062,2012/08/18,0.040342,2.634193,-114.979115,44.414766
44775.24000000,USFS,0120,FIMT,2012,N,CA-PNF,Chips,G32E,2012/08/19,,3052,2012/08/19,0.019136,1.554551,-121.248886,40.076930
5255.20000000,State Agency,0200,,2012,N,CA-MVU,Vallecito Lightning Complex,G51T,2012/08/15,Wilson,,2012/08/15,0.002056,0.209940,-116.434181,33.182976
4061.78000000,State Agency,0200,,2012,N,CA-MVU,Vallecito Lightning Complex,G51T,2012/08/15,Stewart,,2012/08/15,0.001588,0.248775,-116.484293,33.141672
17457.42000000,USFS,1800,,2012,N,MT-LCF,Elbow Pass Complex,G37C,2012/08/13,,3066,2012/08/14,0.008417,0.743832,-112.869720,47.378299
12573.47000000,BLM,2044,FIMT,2012,N,CA-OVD,Indian,G5GA,2012/08/13,,3148,2012/08/14,0.005217,0.618168,-118.861382,37.951960
